Order	School	Postcode	State Overall Score	Better Education Percentile	English	Maths	Total Enrolments	Trend / Compare	Sector	SES
5	Serpell Primary School, Templestowe, VIC, 3106	3106	100	1%	5/5	5/5	1240	Trend / Compare	Government	96
11	Oakleigh South Primary School, Oakleigh South, VIC, 3167	3167	100	1%	5/5	5/5	1050	Trend / Compare	Government	96
14	Kew East Primary School	3102	100	1%	5/5	5/5	370	Trend / Compare	Government	97
15	Beverley Hills Primary School, Doncaster East, VIC, 3109	3109	100	1%	5/5	5/5	820	Trend / Compare	Government	96
17	Doncaster Gardens Primary School, Doncaster East, VIC, 3109	3109	100	2%	5/5	5/5	800	Trend / Compare	Government	96
19	Vermont Primary School	3133	100	2%	5/5	5/5	770	Trend / Compare	Government	96
20	Balwyn Primary School, Balwyn, VIC, 3103	3103	100	2%	5/5	5/5	600	Trend / Compare	Government	96
21	Glendal Primary School, Glen Waverley, VIC, 3150	3150	99	2%	5/5	5/5	910	Trend / Compare	Government	96
24	Wheelers Hill Primary School	3150	99	2%	5/5	5/5	700	Trend / Compare	Government	96
26	Birralee Primary School, Doncaster, VIC, 3108	3108	99	2%	5/5	5/5	600	Trend / Compare	Government	96
28	Kerrimuir Primary School	3129	99	2%	5/5	5/5	580	Trend / Compare	Government	95
30	Glen Huntly Primary School	3163	99	2%	5/5	5/5	290	Trend / Compare	Government	95
31	Canterbury Primary School	3126	99	2%	5/5	5/5	650	Trend / Compare	Government	97
33	Brandon Park Primary School, Wheelers Hill, VIC, 3150	3150	99	2%	5/5	5/5	590	Trend / Compare	Government	95
34	Templestowe Heights Primary School, Wantirna, VIC, 3152	3152	99	2%	5/5	5/5	720	Trend / Compare	Government	95
35	Mount Waverley Primary School, Mount Waverley, VIC, 3149	3149	99	3%	5/5	5/5	800	Trend / Compare	Government	96
37	Highvale Primary School, Glen Waverley, VIC, 3150	3150	99	3%	5/5	5/5	360	Trend / Compare	Government	96
38	South Melbourne Primary School, Southbank, VIC, 3006	3006	99	3%	5/5	5/5	500	Trend / Compare	Government	96
47	Preston West Primary School	3072	99	3%	5/5	5/5	680	Trend / Compare	Government	95
48	Doncaster Primary School	3108	99	3%	5/5	5/5	550	Trend / Compare	Government	97
49	Camberwell Primary School, Camberwell, VIC, 3124	3124	99	3%	5/5	5/5	580	Trend / Compare	Government	97
50	Bentleigh West Primary School	3204	99	3%	5/5	5/5	740	Trend / Compare	Government	96
54	Pinewood Primary School, Mount Waverley, VIC, 3149	3149	99	4%	5/5	5/5	990	Trend / Compare	Government	96
55	Laburnum Primary School	3130	99	4%	5/5	5/5	680	Trend / Compare	Government	96
56	Camelot Rise Primary School, Glen Waverley, VIC, 3150	3150	99	4%	5/5	5/5	420	Trend / Compare	Government	96
57	Mount Waverley North Primary School	3149	99	4%	5/5	5/5	530	Trend / Compare	Government	96
59	Hartwell Primary School, Camberwell, VIC, 3124	3124	99	4%	5/5	5/5	590	Trend / Compare	Government	97
62	Koorlong Primary School	3501	99	4%	5/5	5/5	50	Trend / Compare	Government	97
65	Mount View Primary School, Glen Waverley, VIC, 3150	3150	99	4%	5/5	5/5	990	Trend / Compare	Government	96
66	Weeden Heights Primary School, Vermont South, VIC, 3133	3133	98	4%	5/5	5/5	160	Trend / Compare	Government	95
70	Templestowe Heights Primary School	3107	98	5%	5/5	5/5	500	Trend / Compare	Government	95
73	Toorak Primary School	3142	98	5%	5/5	5/5	480	Trend / Compare	Government	95
74	Burwood Heights Primary School	3151	98	5%	5/5	5/5	430	Trend / Compare	Government	95
75	Burwood East Primary School	3151	98	5%	5/5	5/5	620	Trend / Compare	Government	95
77	Rangeview Primary School	3132	98	5%	5/5	5/5	710	Trend / Compare	Government	96
78	Tylden Primary School	3444	98	5%	5/5	5/5	120	Trend / Compare	Government	81
80	Livingstone Primary School	3133	98	5%	5/5	5/5	710	Trend / Compare	Government	96
83	Valkstone Primary School	3165	98	5%	5/5	5/5	660	Trend / Compare	Government	96
85	Camberwell South Primary School	3146	98	5%	5/5	5/5	450	Trend / Compare	Government	96
86	Blackburn Lake Primary School	3130	98	5%	5/5	5/5	550	Trend / Compare	Government	96
88	Greythorn Primary School	3104	98	5%	5/5	5/5	450	Trend / Compare	Government	96
89	Antonio Park Primary School	3132	98	5%	5/5	5/5	530	Trend / Compare	Government	95
91	Parkdale Primary School	3195	98	5%	5/5	5/5	660	Trend / Compare	Government	95
93	Coatesville Primary School	3165	98	5%	5/5	5/5	770	Trend / Compare	Government	95
94	Donvale Primary School	3111	98	5%	5/5	5/5	320	Trend / Compare	Government	97
95	Westgarth Primary School	3070	98	5%	5/5	5/5	550	Trend / Compare	Government	97
97	Murrumbeena Primary School	3163	98	5%	5/5	5/5	540	Trend / Compare	Government	96
